State,Dem,Rep,Date,Pollster
OH,49,46,Aug 21 2012,UofCincinnati
OH,49,46,Feb 12 2012,QuinnipiacU
OH,49,46,Oct 28 2012,PharosResearchGroup
OH,49,47,Oct 25 2012,ARG
OH,49,48,Oct 17 2012,Rasmussen
OH,49,48,Oct 20 2012,PPP
OH,49,49,Nov 01 2012,Rasmussen
OH,49,49,Nov 04 2012,Rasmussen
OH,49,49,Oct 23 2012,UofCincinnati
OH,50,38,Mar 02 2012,MaristColl
OH,50,42,Nov 03 2012,Zogby
OH,50,43,May 06 2012,PPP
OH,50,43,Sep 11 2012,MaristColl
OH,50,44,Aug 21 2012,QuinnipiacU
OH,50,44,Jul 30 2012,QuinnipiacU
OH,50,45,Oct 20 2012,QuinnipiacU
OH,50,45,Oct 21 2012,PharosResearchGroup
OH,50,45,Oct 28 2012,QuinnipiacU
OH,50,45,Oct 30 2012,PPP
OH,50,45,Sep 09 2012,PPP
OH,50,46,Oct 25 2012,ORCInternational
OH,50,47,Nov 01 2012,ORCInternational
OH,50,48,Nov 03 2012,ColumbusDispatch
OH,50,49,Nov 04 2012,UofCincinnati
OH,50,49,Oct 04 2012,Rasmussen
OH,51,42,Sep 29 2012,ColumbusDispatch
OH,51,43,Oct 01 2012,MaristColl
OH,51,45,Nov 01 2012,MaristColl
OH,51,45,Oct 09 2012,MaristColl
OH,51,46,Oct 13 2012,PPP
OH,51,46,Sep 18 2012,UofCincinnati
OH,51,47,Oct 08 2012,ORCInternational
OH,51,47,Oct 28 2012,PPP
OH,52,44,Sep 23 2012,WashingtonPost
OH,52,47,Nov 04 2012,PPP
OH,53,43,Sep 24 2012,QuinnipiacU
OK,27,62,May 10 2012,SoonerPoll
OK,29,58,Aug 14 2012,SoonerPoll
OK,33,58,Oct 24 2012,SoonerPoll
OR,47,41,Oct 28 2012,ElwayPoll
OR,47,43,May 10 2012,SurveyUSA
OR,49,42,Oct 18 2012,SurveyUSA
OR,50,39,Mar 19 2012,SurveyUSA
OR,50,41,Sep 13 2012,SurveyUSA
OR,50,42,Jun 24 2012,PPP
OR,52,46,Nov 01 2012,PPP
PA,41,30,Jan 22 2012,FranklinMarshallColl
PA,41,33,Feb 21 2012,FranklinMarshallColl
PA,43,40,Oct 05 2012,SienaColl
PA,45,39,Jun 25 2012,QuinnipiacU
PA,45,40,Apr 01 2012,MuhlenbergColl
PA,45,42,Mar 26 2012,QuinnipiacU
PA,45,44,Feb 23 2012,Rasmussen
PA,46,40,Jun 10 2012,QuinnipiacU
PA,46,40,Mar 12 2012,QuinnipiacU
PA,47,39,May 01 2012,QuinnipiacU
PA,47,41,May 21 2012,Rasmussen
PA,47,42,Aug 12 2012,FranklinMarshallColl
PA,47,45,Oct 08 2012,PulseOpinionResearch
PA,48,36,Jun 04 2012,FranklinMarshallColl
PA,48,37,Feb 21 2012,MuhlenbergColl
PA,48,40,Sep 20 2012,MercyhurstUniversity
PA,48,44,Jul 18 2012,Rasmussen
PA,48,44,Oct 15 2012,PulseOpinionResearch
PA,49,40,Aug 22 2012,MuhlenbergColl
PA,49,42,Mar 11 2012,PPP
PA,49,42,Sep 26 2012,MuhlenbergColl
PA,49,43,Jul 23 2012,PPP
PA,49,43,Oct 25 2012,GlobalStrategy
PA,49,45,Oct 14 2012,MuhlenbergColl
PA,49,45,Oct 28 2012,FranklinMarshallColl
PA,49,46,Nov 03 2012,MuhlenbergColl
PA,49,46,Oct 21 2012,PharosResearchGroup
PA,49,46,Oct 30 2012,PulseOpinionResearch
PA,50,39,Sep 12 2012,GlobalStrategy
PA,50,41,Sep 16 2012,MuhlenbergColl
PA,50,42,May 20 2012,PPP
PA,50,42,Oct 08 2012,GlobalStrategy
PA,50,45,Oct 21 2012,MuhlenbergColl
PA,50,46,Oct 14 2012,QuinnipiacU
PA,51,39,Sep 19 2012,Rasmussen
PA,51,42,Aug 23 2012,GlobalStrategy
PA,51,44,Oct 14 2012,PPP
PA,51,46,Oct 09 2012,Rasmussen
PA,51,46,Oct 24 2012,Rasmussen
PA,52,40,Sep 19 2012,PPP
PA,52,42,Oct 20 2012,Angus
PA,52,43,Sep 23 2012,FranklinMarshallColl
PA,52,46,Nov 03 2012,PPP
PA,53,42,Jul 30 2012,QuinnipiacU
PA,54,42,Sep 24 2012,QuinnipiacU
RI,54,33,Oct 27 2012,FlemingandAssocs
RI,54,37,Feb 22 2012,PPP
RI,57,33,Sep 29 2012,FlemingandAssocs
RI,58,32,Oct 05 2012,BrownU
SC,40,46,Jan 13 2012,IPSOS
SD,35,44,Feb 17 2012,NielsonBros
SD,39,54,Sep 06 2012,NielsonBros
SD,40,46,Jan 30 2012,PPP
SD,41,52,Oct 05 2012,NielsonBros
SD,41,53,Nov 04 2012,NielsonBros
SD,42,50,Oct 31 2012,NielsonBros
SD,43,49,Jul 23 2012,NielsonBros
TN,34,59,Oct 21 2012,MiddleTennStateU
TN,39,42,Feb 22 2012,PrincetonSurvey
TN,40,47,May 09 2012,PrincetonSurvey
TN,41,47,Feb 25 2012,MiddleTennStateU
TX,35,55,May 13 2012,UofTexas
TX,36,49,Feb 15 2012,UofTexas
TX,39,55,Oct 21 2012,UofTexas
TX,39,58,Sep 26 2012,TexasLyceum
TX,42,49,Jan 15 2012,PPP
TX,43,50,Apr 22 2012,PPP
UT,20,71,Oct 13 2012,KeyResearch
UT,25,70,Oct 31 2012,MasonDixon
UT,26,68,Jun 21 2012,DanJones
UT,26,69,Nov 01 2012,DanJones
VA,40,46,Apr 05 2012,RoanokeColl
VA,42,43,Feb 26 2012,RoanokeColl
VA,44,44,Jul 16 2012,QuinnipiacU
VA,44,45,Apr 23 2012,Rasmussen
VA,44,49,Oct 26 2012,RoanokeColl
VA,45,44,Jan 18 2012,MasonDixon
VA,45,47,Oct 24 2012,FoxNews
VA,45,48,Aug 14 2012,PurpleStrategies
VA,45,49,Oct 29 2012,Zogby
VA,46,43,Sep 19 2012,PurpleStrategies
VA,46,44,Jul 13 2012,PurpleStrategies
VA,46,44,Sep 26 2012,SuffolkU
VA,47,39,Sep 28 2012,RoanokeColl
VA,47,42,Jun 04 2012,QuinnipiacU
VA,47,43,Feb 06 2012,QuinnipiacU
VA,47,46,Jul 17 2012,Rasmussen
VA,47,46,Nov 04 2012,IPSOS
VA,47,46,Oct 15 2012,PulseOpinionResearch
VA,47,47,Aug 23 2012,Rasmussen
VA,47,47,Jun 03 2012,Rasmussen
VA,47,47,Oct 25 2012,PurpleStrategies
VA,47,48,Oct 09 2012,MaristColl
VA,47,48,Oct 14 2012,ARG
VA,47,49,Oct 11 2012,Rasmussen
VA,47,50,Oct 18 2012,Rasmussen
VA,48,44,May 20 2012,MaristColl
VA,48,46,Apr 23 2012,PurpleStrategies
VA,48,46,Aug 07 2012,Rasmussen
VA,48,46,Oct 01 2012,MaristColl
VA,48,46,Oct 30 2012,IPSOS
VA,48,47,Nov 02 2012,MaristColl
VA,48,48,Oct 08 2012,PulseOpinionResearch
VA,48,48,Oct 25 2012,Zogby
VA,48,49,Oct 04 2012,Rasmussen
VA,48,50,Nov 04 2012,Rasmussen
VA,48,50,Oct 24 2012,Rasmussen
VA,49,42,Jun 15 2012,OldDominionUniv
VA,49,43,Feb 21 2012,Rasmussen
VA,49,43,Sep 19 2012,PPP
VA,49,44,Nov 01 2012,IPSOS
VA,49,44,Sep 11 2012,MaristColl
VA,49,45,Aug 06 2012,QuinnipiacU
VA,49,46,Jun 05 2012,PurpleStrategies
VA,49,46,Oct 23 2012,Zogby
VA,49,46,Oct 31 2012,PPP
VA,49,47,Oct 19 2012,PPP
VA,49,47,Oct 28 2012,QuinnipiacU
VA,49,47,Sep 27 2012,ARG
VA,49,48,Oct 16 2012,PPP
VA,49,48,Oct 30 2012,PulseOpinionResearch
VA,49,48,Sep 13 2012,Rasmussen
VA,50,42,Jul 08 2012,PPP
VA,50,42,Mar 18 2012,QuinnipiacU
VA,50,43,Oct 17 2012,OldDominionU
VA,50,43,Sep 18 2012,FoxNews
VA,50,44,Nov 03 2012,Zogby
VA,50,45,Aug 19 2012,PPP
VA,50,46,Sep 17 2012,QuinnipiacU
VA,50,47,Oct 07 2012,PPP
VA,51,42,Mar 20 2012,Rasmussen
VA,51,43,Apr 29 2012,PPP
VA,51,44,May 02 2012,WashingtonPost
VA,51,46,Oct 09 2012,QuinnipiacU
VA,51,46,Oct 24 2012,PPP
VA,51,46,Sep 16 2012,PPP
VA,51,47,Nov 04 2012,PPP
VA,51,47,Oct 26 2012,AbtSRBI
VA,52,35,Mar 02 2012,MaristColl
VA,52,44,Sep 16 2012,WashingtonPost
VT,58,33,Feb 22 2012,CastletonStateColl
VT,62,25,Aug 21 2012,CastletonStateColl
WA,46,37,Jul 18 2012,SurveyUSA
WA,49,38,Feb 09 2012,ElwayPoll
WA,49,41,Jun 16 2012,ElwayPoll
WA,50,36,May 09 2012,SurveyUSA
WA,50,39,Feb 15 2012,SurveyUSA
WA,50,39,Jan 16 2012,SurveyUSA
WA,50,45,Oct 16 2012,PPP
WA,52,41,Sep 26 2012,Rasmussen
WA,52,43,Oct 16 2012,TheWashingtonPoll
WA,52,43,Oct 16 2012,UofWashington
WA,53,36,Sep 12 2012,ElwayPoll
WA,53,38,Feb 19 2012,PPP
WA,53,42,Sep 09 2012,PPP
WA,53,46,Nov 03 2012,PPP
WA,54,37,Aug 02 2012,SurveyUSA
WA,54,38,Sep 09 2012,SurveyUSA
WA,54,40,Oct 14 2012,SurveyUSA
WA,54,40,Oct 31 2012,SurveyUSA
WA,54,41,Jun 17 2012,PPP
WA,55,42,Oct 14 2012,Rasmussen
WA,56,36,Sep 30 2012,SurveyUSA
WA,57,36,Oct 31 2012,UofWashington
WI,44,47,Jun 12 2012,Rasmussen
WI,46,46,May 12 2012,MarquetteLawSchool
WI,47,42,Feb 27 2012,Rasmussen
WI,47,46,May 13 2012,PPP
WI,47,48,Aug 15 2012,Rasmussen
WI,47,48,Aug 19 2012,PPP
WI,48,40,Jan 22 2012,MarquetteLawSchool
WI,48,43,Mar 25 2012,MarquetteLawSchool
WI,48,46,Oct 17 2012,MasonDixon
WI,49,39,Sep 30 2012,Zogby
WI,49,43,Jun 16 2012,MarquetteLawSchool
WI,49,43,May 22 2012,StNorbertColl
WI,49,45,Aug 14 2012,ORCInternational
WI,49,45,May 09 2012,Rasmussen
WI,49,46,Aug 19 2012,MarquetteLawSchool
WI,49,46,Jul 25 2012,Rasmussen
WI,49,46,Oct 29 2012,MaristColl
WI,49,46,Sep 17 2012,Rasmussen
WI,49,47,Aug 21 2012,QuinnipiacU
WI,49,47,Oct 06 2012,PPP
WI,49,48,Oct 14 2012,MarquetteLawSchool
WI,49,48,Oct 30 2012,PulseOpinionResearch
WI,49,48,Sep 13 2012,PPP
WI,49,49,Oct 25 2012,Rasmussen
WI,49,49,Oct 29 2012,Rasmussen
WI,50,44,Apr 15 2012,PPP
WI,50,44,Jul 08 2012,PPP
WI,50,45,Aug 05 2012,MarquetteLawSchool
WI,50,45,Sep 18 2012,MaristColl
WI,50,46,Oct 08 2012,PulseOpinionResearch
WI,50,47,Oct 09 2012,QuinnipiacU
WI,50,47,Oct 15 2012,PulseOpinionResearch
WI,50,48,Oct 18 2012,Rasmussen
WI,51,42,Apr 29 2012,MarquetteLawSchool
WI,51,42,Oct 29 2012,StNorbertColl
WI,51,43,Jul 08 2012,MarquetteLawSchool
WI,51,43,May 26 2012,MarquetteLawSchool
WI,51,43,Oct 28 2012,MarquetteLawSchool
WI,51,45,Aug 06 2012,QuinnipiacU
WI,51,45,Oct 17 2012,MaristColl
WI,51,45,Oct 24 2012,PPP
WI,51,45,Sep 17 2012,QuinnipiacU
WI,51,46,Oct 20 2012,Angus
WI,51,46,Oct 30 2012,PPP
WI,51,48,Nov 03 2012,PPP
WI,51,49,Oct 09 2012,Rasmussen
WI,52,35,Mar 27 2012,MaristColl
WI,52,41,Mar 27 2012,Rasmussen
WI,52,45,Sep 19 2012,PPP
WI,53,38,Feb 19 2012,MarquetteLawSchool
WI,53,39,Feb 26 2012,PPP
WI,53,42,Sep 30 2012,MarquetteLawSchool
WI,54,40,Sep 16 2012,MarquetteLawSchool
WV,37,54,Apr 28 2012,RLRepass
WV,38,52,Aug 25 2012,RLRepass
WY,32,64,Nov 04 2008,2008Election
